start 1771345199.5629513 n=41
[1/41] stem=40795846_Berberine_for_preventing_colorectal_aden rc=0 sec=57.7 out=recovering: 40795846_Berberine for preventing colorectal aden (diabetes) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\40795846_Berberine_for_preventing_colorectal_aden_summary.json | recovered=True | note: t1: rc=0 err=
[2/41] stem=41192934_Hemoglobin_A1c_time-in-range_mortality_a rc=0 sec=74.0 out=recovering: 41192934_Hemoglobin A1c time-in-range mortality a (diabetes) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\41192934_Hemoglobin_A1c_time-in-range_mortality_a_summary.json | recovered=True | note: t1: rc=0 err=
[3/41] stem=40739638_Efficacy_and_safety_of_dapagliflozin_in rc=0 sec=85.7 out=recovering: 40739638_Efficacy and safety of dapagliflozin in  (diabetes) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\40739638_Efficacy_and_safety_of_dapagliflozin_in_summary.json | recovered=True | note: t1: rc=0 err=
[4/41] stem=40929147_Effect_of_aspirin_on_grip_strength_and_g rc=0 sec=92.7 out=recovering: 40929147_Effect of aspirin on grip strength and g (diabetes) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\40929147_Effect_of_aspirin_on_grip_strength_and_g_summary.json | recovered=True | note: t1: rc=0 err=
[5/41] stem=Augustus rc=0 sec=84.4 out=recovering: AUGUSTUS (AF-ACS) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\Augustus_summary.json | recovered=True | note: t1: rc=0 err=
[6/41] stem=EffectofmetoprololCR-XLinchronicheartfailure rc=0 sec=74.3 out=recovering: MERIT-HF (heart-failure) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\EffectofmetoprololCR-XLinchronicheartfailure_summary.json | recovered=True | note: t1: rc=0 err=
[7/41] stem=NEJMoa1904143 rc=0 sec=60.9 out=recovering: AFIRE (AF-CAD) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\NEJMoa1904143_summary.json | recovered=True | note: t1: rc=0 err=
[8/41] stem=NEJMoa0802987 rc=0 sec=81.0 out=recovering: ADVANCE (diabetes) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\NEJMoa0802987_summary.json | recovered=True | note: t1: rc=0 err=
[9/41] stem=NEJMoa2206286 rc=0 sec=28.1 out=recovering: DELIVER (heart-failure) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\NEJMoa2206286_summary.json | recovered=True | note: t1: rc=0 err=
[10/41] stem=NEJMoa2307563 rc=0 sec=34.6 out=recovering: SELECT (obesity-CV) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\NEJMoa2307563_summary.json | recovered=True | note: t1: rc=0 err=
[11/41] stem=NEJMoa2107038 rc=0 sec=49.0 out=recovering: EMPEROR-Preserved (heart-failure) | summary: C:\Users\user\Downloads\wasserstein\expanded_40_results\NEJMoa2107038_summary.json | recovered=True | note: t1: rc=0 err=
